Player,Date,Opponent,Event,Result,TDL,TDA,TD Acc.,TD Def.,Sub. Avg.,Sub. Attempts,Sub. Success Rate,Control Time,Ground Control %,Reversals,Sweeps
Chris Duncan,2025-08-04,N/A,N/A,N/A,5.0,32.0,0%,0%,0.0,0,0%,0,0%,0,0
Chris Gutierrez,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Chris Padilla,2025-08-04,N/A,N/A,N/A,3.0,10.0,0%,0%,0.0,0,0%,0,0%,0,0
Ciryl Gane,2025-08-04,N/A,N/A,N/A,,32.0,0%,0%,0.0,0,0%,0,0%,0,0
Claudio Puelles,2025-08-04,N/A,N/A,N/A,,52.0,0%,0%,0.0,0,0%,0,0%,0,0
Clayton Carpenter,2025-08-04,N/A,N/A,N/A,,13.0,0%,0%,0.0,0,0%,0,0%,0,0
Cody Brundage,2025-08-04,N/A,N/A,N/A,1.0,21.0,0%,0%,0.0,0,0%,0,0%,0,0
Cody Durden,2025-08-04,N/A,N/A,N/A,9.0,71.0,0%,0%,0.0,0,0%,0,0%,0,0
Cody Garbrandt,2025-08-04,N/A,N/A,N/A,5.0,36.0,0%,0%,0.0,0,0%,0,0%,0,0
Cody Gibson,2025-08-04,N/A,N/A,N/A,5.0,37.0,0%,0%,0.0,0,0%,0,0%,0,0
Cody Haddon,2025-08-04,N/A,N/A,N/A,2.0,8.0,0%,0%,0.0,0,0%,0,0%,0,0
Colby Covington,2025-08-04,N/A,N/A,N/A,48.0,164.0,0%,0%,0.0,0,0%,0,0%,0,0
Colby Thicknesse,2025-08-04,N/A,N/A,N/A,,8.0,0%,0%,0.0,0,0%,0,0%,0,0
Cory Sandhagen,2025-08-04,N/A,N/A,N/A,1.0,52.0,0%,0%,0.0,0,0%,0,0%,0,0
Cristian Quiñonez,2025-08-04,N/A,N/A,N/A,,8.0,0%,0%,0.0,0,0%,0,0%,0,0
Cub Swanson,2025-08-04,N/A,N/A,N/A,11.0,52.0,0%,0%,0.0,0,0%,0,0%,0,0
Current Roster ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Curtis Blaydes,2025-08-04,N/A,N/A,N/A,33.0,131.0,0%,0%,0.0,0,0%,0,0%,0,0
Daichi Kamiya ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Damian Pinas ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Damir Hadžović,2025-08-04,N/A,N/A,N/A,,11.0,0%,0%,0.0,0,0%,0,0%,0,0
Daniel Barez,2025-08-04,N/A,N/A,N/A,,21.0,0%,0%,0.0,0,0%,0,0%,0,0
Daniel Frunza,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Daniel Marcos,2025-08-04,N/A,N/A,N/A,,13.0,0%,0%,0.0,0,0%,0,0%,0,0
Daniel Rodriguez,2025-08-04,N/A,N/A,N/A,,12.0,0%,0%,0.0,0,0%,0,0%,0,0
Daniel Santos,2025-08-04,N/A,N/A,N/A,,28.0,0%,0%,0.0,0,0%,0,0%,0,0
Daniel Zellhuber,2025-08-04,N/A,N/A,N/A,,4.0,0%,0%,0.0,0,0%,0,0%,0,0
Danny Barlow,2025-08-04,N/A,N/A,N/A,,2.0,0%,0%,0.0,0,0%,0,0%,0,0
Danny Silva,2025-08-04,N/A,N/A,N/A,4.0,15.0,0%,0%,0.0,0,0%,0,0%,0,0
Dan Hooker,2025-08-04,N/A,N/A,N/A,3.0,32.0,0%,0%,0.0,0,0%,0,0%,0,0
Dan Ige,2025-08-04,N/A,N/A,N/A,2.0,62.0,0%,0%,0.0,0,0%,0,0%,0,0
Daria Zhelezniakova,2025-08-04,N/A,N/A,N/A,,1.0,0%,0%,0.0,0,0%,0,0%,0,0
Darren Elkins,2025-08-04,N/A,N/A,N/A,39.0,197.0,0%,0%,0.0,0,0%,0,0%,0,0
Darrius Flowers,2025-08-04,N/A,N/A,N/A,1.0,7.0,0%,0%,0.0,0,0%,0,0%,0,0
Davey Grant,2025-08-04,N/A,N/A,N/A,3.0,30.0,0%,0%,0.0,0,0%,0,0%,0,0
David Martinez,2025-08-04,N/A,N/A,N/A,,2.0,0%,0%,0.0,0,0%,0,0%,0,0
David Onama,2025-08-04,N/A,N/A,N/A,,23.0,0%,0%,0.0,0,0%,0,0%,0,0
David Teymur,2025-08-04,N/A,N/A,N/A,4.0,12.0,0%,0%,0.0,0,0%,0,0%,0,0
Deiveson Figueiredo,2025-08-04,N/A,N/A,N/A,7.0,77.0,0%,0%,0.0,0,0%,0,0%,0,0
Denise Gomes,2025-08-04,N/A,N/A,N/A,,19.0,0%,0%,0.0,0,0%,0,0%,0,0
Deni Daffa ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Dennis Buzukja,2025-08-04,N/A,N/A,N/A,,11.0,0%,0%,0.0,0,0%,0,0%,0,0
Derrick Lewis,2025-08-04,N/A,N/A,N/A,5.0,38.0,0%,0%,0.0,0,0%,0,0%,0,0
Diego Ferreira,2025-08-04,N/A,N/A,N/A,1.0,30.0,0%,0%,0.0,0,0%,0,0%,0,0
Diego Lopes,2025-08-04,N/A,N/A,N/A,,5.0,0%,0%,0.0,0,0%,0,0%,0,0
Dione Barbosa,2025-08-04,N/A,N/A,N/A,2.0,15.0,0%,0%,0.0,0,0%,0,0%,0,0
Diyar Nurgozhay,2025-08-04,N/A,N/A,N/A,2.0,2.0,0%,0%,0.0,0,0%,0,0%,0,0
Dominick Reyes,2025-08-04,N/A,N/A,N/A,1.0,7.0,0%,0%,0.0,0,0%,0,0%,0,0
Dominic Mar Fan ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Dooho Choi,2025-08-04,N/A,N/A,N/A,1.0,13.0,0%,0%,0.0,0,0%,0,0%,0,0
Drakkar Klose,2025-08-04,N/A,N/A,N/A,8.0,54.0,0%,0%,0.0,0,0%,0,0%,0,0
Drew Dober,2025-08-04,N/A,N/A,N/A,7.0,52.0,0%,0%,0.0,0,0%,0,0%,0,0
Dricus Du Plessis,2025-08-04,N/A,N/A,N/A,2.0,42.0,0%,0%,0.0,0,0%,0,0%,0,0
Duško Todorović,2025-08-04,N/A,N/A,N/A,2.0,45.0,0%,0%,0.0,0,0%,0,0%,0,0
Dustin Jacoby,2025-08-04,N/A,N/A,N/A,2.0,16.0,0%,0%,0.0,0,0%,0,0%,0,0
Dustin Poirier,2025-08-04,N/A,N/A,N/A,24.0,78.0,0%,0%,0.0,0,0%,0,0%,0,0
Dustin Stoltzfus,2025-08-04,N/A,N/A,N/A,4.0,34.0,0%,0%,0.0,0,0%,0,0%,0,0
Edgar Chairez,2025-08-04,N/A,N/A,N/A,,2.0,0%,0%,0.0,0,0%,0,0%,0,0
Edmen Shahbazyan,2025-08-04,N/A,N/A,N/A,8.0,32.0,0%,0%,0.0,0,0%,0,0%,0,0
Edson Barboza,2025-08-04,N/A,N/A,N/A,7.0,22.0,0%,0%,0.0,0,0%,0,0%,0,0
Eduarda Moura,2025-08-04,N/A,N/A,N/A,3.0,37.0,0%,0%,0.0,0,0%,0,0%,0,0
Elijah Smith,2025-08-04,N/A,N/A,N/A,3.0,15.0,0%,0%,0.0,0,0%,0,0%,0,0
Elise Reed,2025-08-04,N/A,N/A,N/A,,5.0,0%,0%,0.0,0,0%,0,0%,0,0
Elves Brener,2025-08-04,N/A,N/A,N/A,,21.0,0%,0%,0.0,0,0%,0,0%,0,0
Erik Silva,2025-08-04,N/A,N/A,N/A,3.0,5.0,0%,0%,0.0,0,0%,0,0%,0,0
Erin Blanchfield,2025-08-04,N/A,N/A,N/A,10.0,44.0,0%,0%,0.0,0,0%,0,0%,0,0
Ernesta Kareckaitė,2025-08-04,N/A,N/A,N/A,1.0,3.0,0%,0%,0.0,0,0%,0,0%,0,0
Eryk Anders,2025-08-04,N/A,N/A,N/A,6.0,102.0,0%,0%,0.0,0,0%,0,0%,0,0
